Phase=12, Time= 440, Destination=(3,0), Source=(0,3), Packet Value=1110000000000000000000110000000000000000000000000000000100001100
Phase=13, Time= 446, Destination=(3,1), Source=(2,1), Packet Value=1010000000000000000000010000001000000000000000000000000100001101
Phase=13, Time= 448, Destination=(3,1), Source=(3,0), Packet Value=1000000000000000000000000000001100000000000000000000000100001101
Phase=13, Time= 450, Destination=(3,1), Source=(3,2), Packet Value=1100000000000000000000100000001100000000000000000000000100001101
Phase=13, Time= 452, Destination=(3,1), Source=(1,1), Packet Value=1010000000000000000000010000000100000000000000000000000100001101
Phase=13, Time= 454, Destination=(3,1), Source=(3,3), Packet Value=1100000000000000000000110000001100000000000000000000000100001101
Phase=13, Time= 456, Destination=(3,1), Source=(2,0), Packet Value=1010000000000000000000000000001000000000000000000000000100001101
Phase=13, Time= 458, Destination=(3,1), Source=(2,2), Packet Value=1110000000000000000000100000001000000000000000000000000100001101
Phase=13, Time= 460, Destination=(3,1), Source=(0,1), Packet Value=1010000000000000000000010000000000000000000000000000000100001101
Phase=13, Time= 462, Destination=(3,1), Source=(2,3), Packet Value=1110000000000000000000110000001000000000000000000000000100001101
Phase=13, Time= 464, Destination=(3,1), Source=(1,0), Packet Value=1010000000000000000000000000000100000000000000000000000100001101
Phase=13, Time= 466, Destination=(3,1), Source=(1,2), Packet Value=1110000000000000000000100000000100000000000000000000000100001101
Phase=13, Time= 468, Destination=(3,1), Source=(0,0), Packet Value=1010000000000000000000000000000000000000000000000000000100001101
Phase=13, Time= 470, Destination=(3,1), Source=(1,3), Packet Value=1110000000000000000000110000000100000000000000000000000100001101
Phase=13, Time= 472, Destination=(3,1), Source=(0,2), Packet Value=1110000000000000000000100000000000000000000000000000000100001101
Phase=13, Time= 474, Destination=(3,1), Source=(0,3), Packet Value=1110000000000000000000110000000000000000000000000000000100001101
Phase=14, Time= 480, Destination=(3,2), Source=(2,2), Packet Value=1010000000000000000000100000001000000000000000000000000100001110
Phase=14, Time= 482, Destination=(3,2), Source=(3,1), Packet Value=1000000000000000000000010000001100000000000000000000000100001110
Phase=14, Time= 484, Destination=(3,2), Source=(3,3), Packet Value=1100000000000000000000110000001100000000000000000000000100001110
Phase=14, Time= 486, Destination=(3,2), Source=(1,2), Packet Value=1010000000000000000000100000000100000000000000000000000100001110
Phase=14, Time= 488, Destination=(3,2), Source=(3,0), Packet Value=1000000000000000000000000000001100000000000000000000000100001110
Phase=14, Time= 490, Destination=(3,2), Source=(2,1), Packet Value=1010000000000000000000010000001000000000000000000000000100001110
Phase=14, Time= 492, Destination=(3,2), Source=(2,3), Packet Value=1110000000000000000000110000001000000000000000000000000100001110
Phase=14, Time= 494, Destination=(3,2), Source=(0,2), Packet Value=1010000000000000000000100000000000000000000000000000000100001110
Phase=14, Time= 496, Destination=(3,2), Source=(2,0), Packet Value=1010000000000000000000000000001000000000000000000000000100001110
Phase=14, Time= 498, Destination=(3,2), Source=(1,1), Packet Value=1010000000000000000000010000000100000000000000000000000100001110
Phase=14, Time= 500, Destination=(3,2), Source=(1,3), Packet Value=1110000000000000000000110000000100000000000000000000000100001110
Phase=14, Time= 502, Destination=(3,2), Source=(0,1), Packet Value=1010000000000000000000010000000000000000000000000000000100001110
Phase=14, Time= 504, Destination=(3,2), Source=(1,0), Packet Value=1010000000000000000000000000000100000000000000000000000100001110
Phase=14, Time= 506, Destination=(3,2), Source=(0,3), Packet Value=1110000000000000000000110000000000000000000000000000000100001110
Phase=14, Time= 508, Destination=(3,2), Source=(0,0), Packet Value=1010000000000000000000000000000000000000000000000000000100001110
Phase=15, Time= 514, Destination=(3,3), Source=(2,3), Packet Value=1010000000000000000000110000001000000000000000000000000100001111
Phase=15, Time= 516, Destination=(3,3), Source=(3,2), Packet Value=1000000000000000000000100000001100000000000000000000000100001111
Phase=15, Time= 518, Destination=(3,3), Source=(1,3), Packet Value=1010000000000000000000110000000100000000000000000000000100001111
Phase=15, Time= 520, Destination=(3,3), Source=(3,1), Packet Value=1000000000000000000000010000001100000000000000000000000100001111
Phase=15, Time= 522, Destination=(3,3), Source=(2,2), Packet Value=1010000000000000000000100000001000000000000000000000000100001111
Phase=15, Time= 524, Destination=(3,3), Source=(3,0), Packet Value=1000000000000000000000000000001100000000000000000000000100001111
Phase=15, Time= 526, Destination=(3,3), Source=(0,3), Packet Value=1010000000000000000000110000000000000000000000000000000100001111
Phase=15, Time= 528, Destination=(3,3), Source=(2,1), Packet Value=1010000000000000000000010000001000000000000000000000000100001111
Phase=15, Time= 530, Destination=(3,3), Source=(1,2), Packet Value=1010000000000000000000100000000100000000000000000000000100001111
Phase=15, Time= 532, Destination=(3,3), Source=(2,0), Packet Value=1010000000000000000000000000001000000000000000000000000100001111
Phase=15, Time= 534, Destination=(3,3), Source=(0,2), Packet Value=1010000000000000000000100000000000000000000000000000000100001111
Phase=15, Time= 536, Destination=(3,3), Source=(1,1), Packet Value=1010000000000000000000010000000100000000000000000000000100001111
Phase=15, Time= 538, Destination=(3,3), Source=(0,1), Packet Value=1010000000000000000000010000000000000000000000000000000100001111
